Matchup,Event,Open,Closing Range Start,Closing Range End,Movement,Date
Tom Watson,Cage Warriors 104: Shore vs. Malone,+185,+100,+100,-0.425,
Aaron Khalid,,-265,-140,-140,,Apr 27th 2019
Tom Watson,UFC Fight Night 73: Saint Preux vs. Teixeira,+135,+115,+115,-0.09300000000000001,
Chris Camozzi,,-175,-135,-135,,Aug 8th 2015
Tom Watson,UFC 183: Silva vs. Diaz,+115,+110,+125,0.013999999999999999,
Rafael Natal,,-155,-135,-130,,Jan 31st 2015
Tom Watson,UFC Fight Night 47: Bader vs. Saint Preux,+120,-125,-125,-0.222,
Sam Alvey,,-160,+105,+115,,Aug 16th 2014
Tom Watson,UFC 169: Barao vs. Faber,-170,-130,-125,0.10800000000000001,
Nick Catone,,+130,+100,+115,,Feb 1st 2014
Tom Watson,UFC 163: Aldo vs. Jung,+100,+120,+150,0.149,
Thales Leites,,-140,-160,-150,,Aug 3rd 2013
Tom Watson,UFC on Fuel TV 7: Barao vs. McDonald,-120,-120,-110,0.019,
Stanislav Nedkov,,-120,+100,+100,,Feb 16th 2013
Tom Watson,UFC on FUEL TV 5: Struve vs. Miocic,+135,+150,+150,0.06,
Brad Tavares,,-175,-170,-160,,Sep 29th 2012
Tom Watson,MFC 26: Retribution,+230,+270,+270,0.10800000000000001,
Jesse Taylor,,-290,-360,-360,,Sep 10th 2010
Tom Watson,Cage Rage 27: Step Up,-170,-170,-170,,
Johnny Phillips,,+140,+140,+140,,Jul 12th 2008
Tom Watson,Cage Rage 25: Bring It On,-205,-170,-170,0.063,
Pierre Guillet,,+165,+150,+150,,Mar 8th 2008
Tom Watson,BAMMA 9,,,,,
Jack Marshman,,,,,,Mar 24th 2012
Tom Watson,BAMMA 6: Kong vs. Ninja,,,,,
Murilo Rua,,,,,,May 21st 2011
Tom Watson,MFC 24: Heat XC,,,,,
Travis Galbraith,,,,,,Feb 26th 2010
Kai Kara France,UFC 269,+105,+110,+130,0.07200000000000001,
Cody Garbrandt,,-125,-155,-136,,Dec 11th 2021
Kai Kara France,UFC 259: Blachowicz vs. Adesanya,-205,-139,-132,0.14300000000000002,
Rogerio Bontorin,,+175,+108,+117,,Mar 6th 2021
Kai Kara France,UFC Fight Night 142: Dos Santos vs. Tuivasa,-365,-400,-360,-0.012,
Elias Garcia,,+255,+300,+330,,Dec 1st 2018
Kai Kara France,Rizin 3,-145,-140,-140,0.013999999999999999,
Tatsumitsu Wada,,+105,+100,+100,,Dec 29th 2016
K.B. Bhullar,UFC on ESPN 23: Reyes vs. Prochazka,+155,+165,+188,0.079,
Andreas Michailidis,,-180,-240,-190,,May 1st 2021
Muin Gafurov,UFC,+275,+450,+550,0.37799999999999995,
Rinya Nakamura,,-345,-800,-649,,Jan 19th 2025
Muin Gafurov,UFC,-115,-195,-160,-0.175,
Kyung Ho Kang,,-105,+130,+150,,Jun 22nd 2024
Muin Gafurov,UFC 294,+164,+225,+270,0.254,
Said Nurmagomedov,,-198,-360,-300,,Oct 21st 2023
Muin Gafurov,UFC on ESPN: Gane vs. Spivak,+160,+160,+160,,
Taylor Lapilus,,-200,-200,-200,,Sep 2nd 2023
Muin Gafurov,UFC on ESPN: Hermansson vs. Allen,+110,+100,+108,-0.034,
John Castaneda,,-138,-130,-120,,Jun 3rd 2023
Muin Gafurov,LFA 144,-185,-190,-188,-0.006999999999999999,
Diego Silva,,+155,+150,+165,,Oct 14th 2022
Muin Gafurov,LFA 134,+165,+120,+140,-0.142,
Herbeth Sousa,,-205,-160,-150,,Jun 10th 2022
Muin Gafurov,DWCS Week 2,-180,-475,-380,-0.258,
Chad Anheliger,,+155,+280,+370,,Sep 7th 2021
Muin Gafurov,ONE Championship 41: Global Rivals,-350,-270,-270,0.062,
Reece McLaren,,+250,+190,+190,,Apr 15th 2016
Muin Gafurov,ONE Championship 31: Odyssey of Champions,-385,-530,-530,-0.06,
Casey Suire,,+265,+350,+350,,Sep 27th 2015
Muin Gafurov,ONE Championship 101: Dawn of Valor,,,,,
John Lineker,,,,,,Oct 25th 2019
Muin Gafurov,ONE Championship 81: Kingdom of Heroes,,,,,
Leandro Issa,,,,,,Oct 6th 2018
Muin Gafurov,ONE Championship 48: State of Warriors,,,,,
Kevin Belingon,,,,,,Oct 7th 2016
Muin Gafurov,ONE Championship 36: Dynasty of Champions,,,,,
Toni Tauru,,,,,,Jan 23rd 2016
Justin Buchholz,WSOF 16: Palhares vs. Fitch,+150,+130,+135,-0.073,
Lewis Gonzalez,,-190,-150,-145,,Dec 13th 2014
Justin Buchholz,UFC 109: Relentless,+290,+275,+275,-0.04,
Mac Danzig,,-380,-335,-335,,Feb 6th 2010
Justin Buchholz,UFC Fight Night 19,+190,+225,+225,0.10800000000000001,
Jeremy Stephens,,-250,-265,-265,,Sep 16th 2009
Justin Buchholz,UFC 99: The Comeback,+190,+260,+260,0.19399999999999998,
Terry Etim,,-270,-320,-320,,Jun 13th 2009
Justin Buchholz,UFC 86: Jackson vs Griffin,+200,+195,+195,-0.017,
Corey Hill,,-240,-235,-235,,Jul 5th 2008
Justin Buchholz,UFC Fight Night 12: Swick vs Burkman,+173,+205,+205,0.105,
Matt Wiman,,-220,-245,-245,,Jan 23rd 2008
Justin Buchholz,Superior Cage Combat 4: Grove vs. Silva,,,,,
John Gunderson,,,,,,Feb 16th 2012
Justin Buchholz,Superior Cage Combat 2,,,,,
Thiago Meller,,,,,,Aug 20th 2011
Justin Buchholz,Superior Cage Combat 1,,,,,
Steve Lopez,,,,,,May 21st 2011
Justin Tafa,UFC,+125,+120,+143,0.026000000000000002,
Tallison Teixeira,,-157,-170,-150,,Feb 9th 2025
Justin Tafa,UFC,+215,+148,+175,-0.212,
Karl Williams,,-290,-210,-180,,Mar 24th 2024
Justin Tafa,UFC 298,+142,+115,+195,0.114,
Marcos Rogerio de Lima,,-170,-235,-140,,Feb 18th 2024
Justin Tafa,UFC 293,-225,-215,-190,0.031,
Austen Lane,,+163,+160,+170,,Sep 10th 2023
Justin Tafa,UFC on ESPN: Holloway vs. The Korean Zombie,-125,-162,-145,-0.09699999999999999,
Parker Porter,,+100,+120,+136,,Aug 26th 2023
Justin Tafa,UFC Fight Night 228,-150,-205,-175,-0.09,
Austen Lane,,+110,+150,+170,,Jun 24th 2023
Justin Tafa,UFC 284: Makhachev vs. Volkanovski,-115,-128,-115,-0.031,
Parker Porter,,-105,-105,+108,,Feb 12th 2023
Justin Tafa,UFC Fight Night: Lewis vs. Daukaus,-325,-350,-310,-0.006,
Harry Hunsucker,,+275,+250,+280,,Dec 18th 2021
Justin Tafa,UFC Fight Night 188: Font vs. Garbrandt,-205,-200,-178,0.027000000000000003,
Jared Vanderaa,,+175,+150,+165,,May 22nd 2021
Justin Tafa,UFC on ABC 1: Holloway vs. Kattar,-105,+155,+170,0.258,
Carlos Felipe,,-115,-222,-185,,Jan 16th 2021
Justin Tafa,UFC 243: Whittaker vs. Adesanya,+130,-120,-105,-0.215,
Yorgan de Castro,,-170,-115,+100,,Oct 5th 2019
Justin Tafa,UFC 247: Jones vs. Reyes,+145,+200,+220,0.215,
Juan Adams,,-185,-260,-250,,Feb 8th 2020
Joao Zeferino,PFL Week 6,+440,+400,+400,-0.08,
Magomed Magomedkerimov,,-700,-650,-650,,Jul 1st 2022
Joao Zeferino,PFL 2021 5,-300,-700,-450,-0.12300000000000001,
Jason Ponet,,+240,+330,+450,,Jun 17th 2021
Joao Zeferino,"PFL 2019, Week 4",-145,-170,-155,-0.047,
Bojan Velickovic,,+125,+125,+140,,Jul 11th 2019
Joao Zeferino,PFL 6: Cooper vs. Kusch,-335,-280,-260,0.052000000000000005,
Yuri Villefort,,+245,+220,+240,,Aug 16th 2018
Joao Zeferino,PFL 3: Shields vs. Cooper,-185,-170,-110,0.10099999999999999,
Paul Bradley,,+145,-110,+145,,Jul 5th 2018
Joao Zeferino,PFL: Daytona,-305,-335,-325,-0.019,
Herman Terrado,,+225,+275,+275,,Jun 30th 2017
Joao Zeferino,WSOF 33,+145,+170,+175,0.10300000000000001,
Jason High,,-185,-205,-200,,Oct 7th 2016
Joao Zeferino,WSOF 30: Branch vs. Starks,+220,+190,+195,-0.092,
Jon Fitch,,-300,-235,-225,,Apr 2nd 2016
Joao Zeferino,WSOF 25: 8-Man Lightweight Tournament,+235,+200,+205,-0.106,
Brian Foster,,-315,-245,-235,,Nov 20th 2015
Joao Zeferino,PFL 2021 2: MacDonald vs. Millender,+300,-184,-162,-1.524,
